trip_id,timestamp,coords,segment,%,bus_stop_number,expected_arrival_time,delay,accumulated_distance
156202411051604_111_156-09,2024-11-05 16:00:04,"[54.33124923706055, 18.573450088500977]",['54.331515569392_18.573999405224_54.331439447387_18.572450259666'],0,STOP 1,"[0, 4.933333333333334]",,[0.0483377]
111202411051512_201_111-33,2024-11-05 16:00:03,"[54.35995101928711, 18.706769943237305]",['54.358798962836_18.704412371125_54.360508622716_18.709227322589'],0.5561715923507858,,[-20.05],20.05,[7.91197967]
295202411051603_21_295-32,2024-11-05 16:00:02,"[54.32271957397461, 18.606380462646484]",['54.322741764021_18.606412344871_54.323815314347_18.605242659844'],0,STOP 1,"[0, 2.966666666666667]",,[0.16752913]
148202411051553_22_148-02,2024-11-05 16:00:04,"[54.41500854492188, 18.58694076538086]",['54.415770091023_18.586596522605_54.412221916494_18.587637310989'],0.20269535652495752,STOP 4,"[0, 1.9333333333333333]",,[2.07668759]
12202411051441_312_012-04,2024-11-05 16:00:04,"[54.3413200378418, 18.57061004638672]",['54.341568155867_18.57051457476_54.336144004646_18.572142206739'],0.9340099236229534,STOP 47,"[0, -7.066666666666666]",7.066666666666666,[21.33762809]
7202411051558_32_007-35,2024-11-05 16:00:03,"[54.3986701965332, 18.674280166625977]",['54.397802950211_18.673777569402_54.398958226613_18.674482539154'],0.03874102958535613,,[-2.05],2.05,[0.61420825]
232202411051513_11_232-07,2024-11-05 16:00:03,"[54.25104904174805, 18.63301086425781]",['54.254378091775_18.633067648955_54.248734762464_18.63273081361'],0.7938934925894067,,[-15.05],15.05,[12.79103352]
3202411051521_22_003-25,2024-11-05 16:00:04,"[54.39263153076172, 18.62240982055664]",['54.389303910162_18.622378381825_54.394867729905_18.622333817505'],0.8226750377019492,STOP 24,"[0, 0.9333333333333333]",,[12.07514724]
8202411051508_322_008-05,2024-11-05 16:00:03,"[54.41194915771485, 18.588029861450195]",['54.410318546783_18.588211461473_54.41598246275_18.586876908997'],0.9011886020280971,STOP 34,"[0, 0.95]",,[15.62081331]
179202411051538_102_179-01,2024-11-05 16:00:03,"[54.41611862182617, 18.54450035095215]",['54.416670119566_18.543414071756_54.412131893805_18.547477079768'],0.8110565322097986,,[-6.05],6.05,[9.26537116]
3202411051512_21_003-03,2024-11-05 16:00:04,"[54.32851028442383, 18.59929084777832]",['54.329326774315_18.598492796523_54.324821238801_18.603384750429'],0.9403691361346926,STOP 28,"[0, -3.066666666666667]",3.066666666666667,[13.69214226]
11202411051606_42_011-07,2024-11-05 16:00:03,"[54.32781982421875, 18.569860458374023]",['54.327546478062_18.569757256315_54.331555589888_18.570628278899'],0,STOP 1,"[0, 6.95]",,[0.0312628]
11202411051516_42_011-34,2024-11-05 16:00:04,"[54.35686874389648, 18.64592933654785]",['54.35212420454_18.646334040368_54.357403124416_18.645970580025'],0.5347268378960341,,[-20.066666666666666],20.066666666666666,[8.07106539]
213202411051556_51_213-01,2024-11-05 16:00:04,"[54.32353973388672, 18.605899810791016]",['54.322741764021_18.606412344871_54.323815314347_18.605242659844'],0.05591889446668599,STOP 2,"[0, -1.0666666666666667]",1.0666666666666667,[0.2707338]
117202411051542_42_117-04,2024-11-05 16:00:05,"[54.411109924316406, 18.556989669799805]",['54.413391189062_18.557266349088_54.408723179239_18.556711743578'],0.5624300738596631,,[-2.0833333333333335],2.0833333333333335,[5.37389923]
131202411051507_11_131-05,2024-11-05 16:00:04,"[54.35580062866211, 18.614770889282227]",['54.355838404557_18.615277319883_54.356016151647_18.607001777388'],0.6476162839099906,,[-22.066666666666666],22.066666666666666,[10.89082339]
179202411051609_102_179-07,2024-11-05 16:00:01,"[54.42055130004883, 18.45203018188477]",['54.42088816505_18.452406175284_54.420391309176_18.451866605512'],0,STOP 1,"[0, 9.983333333333333]",,[0.04675025]
149202411051516_41_149-01,2024-11-05 16:00:04,"[54.39982986450195, 18.60692977905273]",['54.400933854031_18.604047494679_54.399677372494_18.607325602705'],0.5604835631761556,,[-9.066666666666666],9.066666666666666,[10.5599773]
199202411051545_32_199-12,2024-11-05 16:00:04,"[54.403621673583984, 18.59073066711425]",['54.40253972443_18.582689408975_54.403597294997_18.591071552789'],0.4887172925825727,,[-0.06666666666666667],0.06666666666666667,[4.45013197]
2202411051552_131_002-10,2024-11-05 16:00:05,"[54.33340835571289, 18.596479415893555]",['54.332386447238_18.596391579579_54.337398508644_18.600237531802'],0.1364794229182172,STOP 6,"[0, -0.08333333333333333]",0.08333333333333333,[2.41662192]
